step_id,dealer_left,dealer_top,small_blind_left,small_blind_top,small_blind_class,big_blind_left,big_blind_top,big_blind_class,low_limit_left,low_limit_top,low_limit_class,high_limit_left,high_limit_top,high_limit_class,card_1_left,card_1_top,card_1_turn,card_1_class,card_2_left,card_2_top,card_2_turn,card_2_class,card_3_left,card_3_top,card_3_turn,card_3_class,card_4_left,card_4_top,card_4_turn,card_4_class,card_5_left,card_5_top,card_5_turn,card_5_class,card_6_left,card_6_top,card_6_turn,card_6_class,card_7_left,card_7_top,card_7_turn,card_7_class,card_8_left,card_8_top,card_8_turn,card_8_class,card_9_left,card_9_top,card_9_turn,card_9_class,card_10_left,card_10_top,card_10_turn,card_10_class,card_11_left,card_11_top,card_11_turn,card_11_class,card_12_left,card_12_top,card_12_turn,card_12_class,card_13_left,card_13_top,card_13_turn,card_13_class,card_14_left,card_14_top,card_14_turn,card_14_class,card_15_left,card_15_top,card_15_turn,card_15_class,card_16_left,card_16_top,card_16_turn,card_16_class,card_17_left,card_17_top,card_17_turn,card_17_class,card_18_left,card_18_top,card_18_turn,card_18_class,card_19_left,card_19_top,card_19_turn,card_19_class,card_20_left,card_20_top,card_20_turn,card_20_class,card_21_left,card_21_top,card_21_turn,card_21_class,card_22_left,card_22_top,card_22_turn,card_22_class,card_23_left,card_23_top,card_23_turn,card_23_class,card_24_left,card_24_top,card_24_turn,card_24_class,card_25_left,card_25_top,card_25_turn,card_25_class,card_26_left,card_26_top,card_26_turn,card_26_class,card_27_left,card_27_top,card_27_turn,card_27_class,card_28_left,card_28_top,card_28_turn,card_28_class,card_29_left,card_29_top,card_29_turn,card_29_class,card_30_left,card_30_top,card_30_turn,card_30_class,card_31_left,card_31_top,card_31_turn,card_31_class,card_32_left,card_32_top,card_32_turn,card_32_class
texas_holdem_pre_flop_5,5,25,63,33,passive,77,56,passive,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active,9,44,90,active,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive
texas_holdem_pre_flop_6,5,25,63,33,passive,77,56,passive,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active,9,44,90,active,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive
texas_holdem_flop_0,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active,9,44,90,active,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive,50,50,0,passive
texas_holdem_flop_1,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active,9,44,90,active,34,50,0,active rotate,45,50,0,active rotate,56,50,0,active rotate,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive
texas_holdem_flop_2,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active,9,44,90,active,34,50,0,active rotate,45,50,0,active rotate,56,50,0,active rotate,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive
texas_holdem_flop_3,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active,9,44,90,active,34,50,0,active rotate,45,50,0,active rotate,56,50,0,active rotate,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive
texas_holdem_flop_4,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,34,50,0,active rotate,45,50,0,active rotate,56,50,0,active rotate,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive
texas_holdem_flop_5,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,34,50,0,active rotate,45,50,0,active rotate,56,50,0,active rotate,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive
texas_holdem_turn_0,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,34,50,0,active rotate,45,50,0,active rotate,56,50,0,active rotate,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive,67,50,0,passive
texas_holdem_turn_1,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_turn_2,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_turn_3,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active,91,57,90,active,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_turn_4,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_river_0,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_river_1,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_river_2,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_river_3,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_river_4,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_river_5,5,25,63,33,hide,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_showdown_0,5,25,63,33,passive,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_showdown_1,5,25,63,33,passive,77,56,hide,0,0,hide,0,0,hide,16,13,0,active,24,13,0,active,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_showdown_2,5,25,63,33,passive,77,56,hide,0,0,hide,0,0,hide,16,13,0,active rotate,27,13,0,active rotate,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active,76,87,0,active,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_showdown_3,5,25,63,33,passive,77,56,hide,0,0,hide,0,0,hide,16,13,0,active rotate,27,13,0,active rotate,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active rotate,73,87,0,active rotate,35,87,0,active,27,87,0,active,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_showdown_4,5,25,63,33,passive,77,56,hide,0,0,hide,0,0,hide,16,13,0,active rotate,27,13,0,active rotate,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active rotate,73,87,0,active rotate,35,87,0,active rotate,24,87,0,active rotate,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
texas_holdem_showdown_5,5,25,63,33,passive,77,56,hide,0,0,hide,0,0,hide,16,13,0,active rotate,27,13,0,active rotate,65,13,0,active fold,65,13,0,active fold,91,45,90,active fold,91,45,90,active fold,84,87,0,active rotate,73,87,0,active rotate,35,87,0,active rotate,24,87,0,active rotate,9,56,90,active fold,9,56,90,active fold,28,50,0,active rotate,39,50,0,active rotate,50,50,0,active rotate,61,50,0,active rotate,72,50,0,active rotate,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive,72,50,0,passive
